accuracy,precision,recall,f1_score,false_positive,false_negative,true_negative,true_positive,false_positive_rate,selection_score,ml_weight,rule_weight,threshold,model_name
0.9749276759884281,0.9710365853658537,0.9507462686567164,0.9607843137254902,19,33,1385,637,0.013532763532763533,0.9611757480272063,0.65,0.35,0.5,baseline_default
0.973963355834137,0.9827586206896551,0.935820895522388,0.9587155963302753,11,43,1393,627,0.007834757834757835,0.9609578255847738,0.75,0.25,0.6,tuned_random_search
0.9749276759884281,0.9681818181818181,0.9537313432835821,0.9609022556390977,21,31,1383,639,0.014957264957264958,0.9609040786829474,0.75,0.25,0.5,baseline_default
0.9749276759884281,0.9681818181818181,0.9537313432835821,0.9609022556390977,21,31,1383,639,0.014957264957264958,0.9609040786829474,0.85,0.15000000000000002,0.55,baseline_default
0.973963355834137,0.98125,0.9373134328358209,0.9587786259541985,12,42,1392,628,0.008547008547008548,0.9607996491169131,0.85,0.15000000000000002,0.65,tuned_random_search
0.9749276759884281,0.9667673716012085,0.9552238805970149,0.960960960960961,22,30,1382,640,0.01566951566951567,0.9607719922967702,0.85,0.15000000000000002,0.45,baseline_default
0.9744455159112826,0.9738863287250384,0.9462686567164179,0.9598788796366389,17,36,1387,634,0.012108262108262107,0.9607536566737015,0.65,0.35,0.55,baseline_default
0.9749276759884281,0.9653614457831325,0.9567164179104478,0.9610194902548725,23,29,1381,641,0.01638176638176638,0.9606423741253775,0.8,0.19999999999999996,0.4,baseline_default
0.9744455159112826,0.9724349157733537,0.9477611940298507,0.9599395313681028,18,35,1386,635,0.01282051282051282,0.9606114535810021,0.7,0.30000000000000004,0.55,baseline_default
0.973963355834137,0.9738461538461538,0.9447761194029851,0.9590909090909091,17,37,1387,633,0.012108262108262107,0.9600491114744847,0.7,0.30000000000000004,0.6,baseline_default
0.973963355834137,0.9723926380368099,0.9462686567164179,0.9591527987897126,18,36,1386,634,0.01282051282051282,0.9599068965081572,0.75,0.25,0.6,baseline_default
0.973963355834137,0.9723926380368099,0.9462686567164179,0.9591527987897126,18,36,1386,634,0.01282051282051282,0.9599068965081572,0.8,0.19999999999999996,0.65,baseline_default
0.9744455159112826,0.9625187406296851,0.9582089552238806,0.9603590127150337,25,28,1379,642,0.017806267806267807,0.959686606200885,0.85,0.15000000000000002,0.4,baseline_default
0.9734811957569913,0.9738058551617874,0.9432835820895522,0.9583017437452616,17,38,1387,632,0.012108262108262107,0.9593439317336644,0.75,0.25,0.65,baseline_default
